Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z,Amplitude,Distance,Light 1,Light 2,Light 3,Light 4,Comments
583.352,-139.761,0.463927,-179.001,0.343931,-0.938946,0.00679101,-0.00679924,-0.000200567,0.00157125,0.0111321,0.16986,-0.082333,10.0628,0.967025,0.639407,-0.382688,43.97,101.002,0.025001,0.00268068,0.00600832,0.0146595,0.0018463,0.00434846,0.255797,-1.15775,-0.133486,0.363643,0.0989999,-0.253835,-10.0609,0.0905601,-0.253035,0.270891,0.0989999,-0.253835,-0.267164,0,1000,0,0,0,0,
583.377,-139.697,0.466188,-179.002,0.344455,-0.938754,0.0067766,-0.00682015,-0.00037624,-0.00114388,-0.107355,-0.252297,0.621868,26.9743,0.964486,0.640704,-0.387042,43.97,101.002,0.024999,0.00287183,-4.42E-05,-0.0513653,0.00264978,0.00491067,0.36243,-1.15658,-0.132125,0.367961,0.261619,0.420972,-26.9781,-0.331983,0.451246,17.1823,0.261619,0.420972,-17.1843,0,1000,0,0,0,0,
583.402,-139.673,0.664403,-178.855,0.344621,-0.938671,0.00738287,-0.00888722,0.0515144,-0.0350163,0.0643177,0.438618,-4.46673,84.0075,0.967033,0.64214,-0.367209,43.96,100.976,0.025001,0.150529,-0.195417,-0.0128946,-0.0468607,-0.00481507,2.2234,-1.16054,-0.133386,0.343064,4.38399,-4.33888,-83.9008,0.325052,-4.66247,74.2163,4.38399,-4.33888,-74.1071,0,1000,0,0,0,0,
583.428,-139.761,0.772829,-178.767,0.343881,-0.938927,0.00778467,-0.0100338,0.0157732,-0.068427,0.131502,1.5349,4.25153,78.4324,0.964466,0.650138,-0.358988,43.97,100.939,0.024999,0.0928584,-0.103304,0.100469,-0.0181546,0.0814925,2.01075,-1.16458,-0.123895,0.331873,-2.01862,1.64877,-78.5193,1.4028,4.04078,68.6418,-2.01862,1.64877,-68.7255,0,1000,0,0,0,0,
583.453,-140.238,0.828463,-178.879,0.339977,-0.940355,0.0067383,-0.0101242,-0.0745904,-0.0411305,0.477956,-1.28286,1.11587,78.8407,0.970571,0.680724,-0.359395,43.97,101.002,0.025001,-0.10186,-0.0423824,0.496331,0.0143159,0.106766,1.95023,-1.18966,-0.0953319,0.331942,2.13511,1.22185,-78.8207,-1.42446,0.924335,69.0499,2.13511,1.22185,-69.0269,0,1000,0,0,0,0,
583.478,-140.714,0.916277,-179.008,0.336073,-0.941762,0.00546268,-0.0104395,-0.117935,-0.0430059,0.156913,2.56617,-0.345516,81.1754,0.975475,0.693836,-0.401863,43.97,101.002,0.024999,-0.1178,-0.0756314,0.494094,0.00964746,0.0114052,2.04033,-1.20341,-0.0792095,0.374145,0.126948,-2.15775,-81.1879,2.40955,-0.515006,71.3844,0.126948,-2.15775,-71.3941,0,1000,0,0,0,0,
583.503,-141.149,0.974244,-179.1,0.332493,-0.943035,0.0045779,-0.0106291,-0.0516505,-0.0407702,0.266636,0.753136,-0.564541,83.1327,0.968126,0.652431,-0.440829,43.95,100.985,0.025,-0.0807767,-0.0473859,0.45239,0.0109986,-0.00925944,2.06992,-1.17311,-0.0983722,0.414005,1.68718,-1.04225,-83.1144,0.586613,-0.718327,73.3416,1.68718,-1.04225,-73.3206,0,1000,0,0,0,0,
583.529,-141.261,1.04328,-179.089,0.331569,-0.943354,0.00448394,-0.0112265,0.00887734,-0.0428625,0.0230376,-0.113055,1.45779,84.5509,0.914938,0.494175,-0.416887,43.965,100.989,0.025,0.0174323,-0.0639564,0.124622,0.0104257,-0.00585207,2.10057,-1.0327,-0.186531,0.392247,1.21866,1.1221,-84.5473,-0.291376,1.30202,74.76,1.21866,1.1221,-74.7536,0,1000,0,0,0,0,
583.554,-141.336,1.11308,-179.077,0.330945,-0.943566,0.00438394,-0.0118313,0.0317826,-0.0424024,-0.0232374,1.07222,-0.380817,85.6579,0.973049,0.717244,-0.225872,43.97,100.989,0.025001,0.0166899,-0.0653093,0.0860379,0.0120557,0.00447638,2.13144,-1.2132,-0.0476,0.195348,1.5618,-1.005,-85.6453,0.881976,-0.538537,75.8673,1.5618,-1.005,-75.8516,0,1000,0,0,0,0,
583.579,-141.27,1.15504,-179.064,0.331483,-0.943372,0.00435949,-0.0122158,0.00830075,-0.0329773,0.0265026,0.0494996,-0.914964,85.5306,1.00904,0.761518,-0.454319,43.97,100.976,0.024999,0.0151676,-0.0397255,-0.0533624,0.0145957,0.0323755,2.15326,-1.27496,-0.0369902,0.421395,2.75206,-0.755643,-85.4879,-0.147922,-1.07484,75.7402,2.75206,-0.755643,-75.6942,0,1000,0,0,0,0,
583.605,-141.354,1.17522,-179.029,0.330782,-0.943614,0.00459987,-0.0124802,-0.0218721,0.000565466,0.0797071,0.512752,3.20932,85.9156,0.978036,0.68987,-0.401697,43.97,100.976,0.025001,0.0407345,-0.0154759,0.0959525,0.0317401,0.0733156,2.13934,-1.20497,-0.0716167,0.36981,-0.118443,2.15026,-85.9501,0.311883,3.04344,76.1253,-0.118443,2.15026,-76.1563,0,1000,0,0,0,0,
583.63,-141.452,1.16723,-179.073,0.329983,-0.943897,0.00427032,-0.0122836,-0.0517783,0.0118349,-0.0586598,1.21696,2.29713,86.4926,0.976821,0.683233,-0.398779,43.97,100.976,0.025,-0.0382264,0.0129168,0.11006,0.0307595,0.070515,2.15252,-1.19971,-0.0742052,0.367699,-0.132871,1.04248,-86.5252,1.01745,2.13878,76.7021,-0.132871,1.04248,-76.7315,0,1000,0,0,0,0,
583.655,-141.445,1.14803,-179.142,0.330051,-0.94388,0.00376278,-0.0119291,-0.0310115,-0.0166751,-0.133627,-0.320764,0.072549,88.0392,0.97427,0.689924,-0.386294,43.97,100.989,0.025,-0.0644801,0.0224239,0.00669483,-0.0152964,0.0221363,2.18508,-1.20119,-0.0678181,0.356319,2.40685,0.324522,-88.0063,-0.516988,-0.0741386,78.2485,2.40685,0.324522,-78.2125,0,1000,0,0,0,0,
